id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
6453,,,"1605 N. Willis Avenue",,,,Champaign,Champaign,IL,61821,231
6454,,,"1002 S. Race Street",,,,Urbana,Champaign,IL,61801,231
6455,,,"No Street Address Available",,,,Peoria,Peoria,IL,61602,231
6456,,,"109 Kenwood Road",,,,Champaign,Champaign,IL,61821,231
6457,,,"502 S. Lierman Avenue",,,,Urbana,Champaign,IL,61802,231
6458,,,"200 Constitution Avenue",,,,Washington,"District of Columbia",DC,20210,231
6459,,,"1250 E. U.S. Highway 36",,,,Tuscola,Douglas,IL,61953,231
6460,,,"No Street Address Available",,,,Springfield,Sangamon,IL,62701,231
6461,,,"No Street Address Available",,,,Springfield,Sangamon,IL,62705,231
6462,,,"1001 S. Wright Street",,,,Champaign,Champaign,IL,61820,231
6463,,,"207 S. Prospect Avenue, Suite 1",,,,Bloomington,McLean,IL,61704,231
6464,,,"201 W. Springfield Avenue, Suite 508-509",,,,Champaign,Champaign,IL,61820,231
6465,,,"115 S.W. Adams Street, Room 007",,,,Peoria,Peoria,IL,61602,231
6466,,,"1530 Fairway Drive",,,,Rantoul,Champaign,IL,61866,231
6467,,,"22979 N. Bowman Avenue",,,,Danville,Vermilion,IL,61834,231
6468,,,"101 E. Main Street",,,,Urbana,Champaign,IL,61801,231
6469,,,"101 E. Main Street",,,,Urbana,Champaign,IL,61801,231
6470,,,"115 E. Market Street",,,,Sadorus,Champaign,IL,61872,231
6471,,,"203 E. Adams Street",,,,Mahomet,Champaign,IL,61853,231
6472,,,"116 W. Main Street",,,,Urbana,Champaign,IL,61801,231
6473,,,"One Levee Way, Suite 3116",,,,Newport,Campbell,KY,41071,231
6474,,,"11191 Illinois Route 185",,,,Hillsboro,Montgomery,IL,62049,231
6475,,,"1968 N. Bowman Avenue",,,,Danville,Vermilion,IL,61832,231
6476,,,"1203 Egyptian Trail",,,,Tuscola,Douglas,IL,61953,231
6477,,,"105 E. Main Street",,,,Arcola,Douglas,IL,61910,231
6478,,,"6081 Developmental Drive",,,,Charleston,Coles,IL,61920,231
6479,,,"170 W. Concord Street",,,,Sheldon,Iroquois,IL,60966,231
6480,,,"1501 Interstate Drive, Suite C",,,,Champaign,Champaign,IL,61821,231
6481,,,"2125 S. 1st Street",,,,Champaign,Champaign,IL,61820,231
6482,,,"33 N. LaSalle, Suite 900",,,,Chicago,Cook,IL,60602,231
6483,,,"309 E. Springfield Avenue",,,,Champaign,Champaign,IL,61820,231
6484,,,"300 N. Goodwin Street",,,,Urbana,Champaign,IL,618012173,231
6485,,,"No Street Address Available",,,,Bloomington,McLean,IL,61701,231
6486,,,"701 N. Fairfax Street",,,,Alexandria,"Alexandria City",VA,22314,231
6487,,,"101 E. Main Street",,,,Urbana,Champaign,IL,61801,231
6488,,,"4221 Forbes Boulevard",,,,Lanham,"Prince Georges",MD,20706,231
6489,,,"3450 Cahuenga Blvd W, Suite 602",,,,"Los Angeles","Los Angeles",CA,90068,231
6490,,,"300 E. Monroe Street, Suite 100",,,,Springfield,Sangamon,IL,62701,231
6491,,,,,,,Bethesda,Montgomery,MD,20824,231
6492,,,"207 Statehouse",,,,Springfield,Sangamon,IL,62706,231
6493,,,"No Street Address Available",,,,"Arlington Heights",Cook,IL,60006,231
6494,,,"600 Pennsylvania Ave, NW",,,,Washington,"District of Columbia",DC,20580,231
6495,,,"122 S. Michigan Avenue",,,,Chicago,Cook,IL,60603,231
6496,,,"No Street Address Available",,,,Naperville,DuPage,IL,60567,231
6497,,,"902 Ash Street",,,,Winnetka,Cook,IL,60093,231
